@relation R_data_frame-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute V29 numeric
@attribute V30 numeric
@attribute V31 numeric
@attribute V32 numeric
@attribute V33 numeric
@attribute V34 numeric
@attribute V35 numeric
@attribute V36 numeric
@attribute V37 numeric
@attribute V38 numeric
@attribute V39 numeric
@attribute V40 numeric
@attribute V41 numeric
@attribute V42 numeric
@attribute V43 numeric
@attribute V44 numeric
@attribute V45 numeric
@attribute V46 numeric
@attribute V47 numeric
@attribute V48 numeric
@attribute V49 numeric
@attribute V50 numeric
@attribute V51 numeric
@attribute V52 numeric
@attribute V53 numeric
@attribute V54 numeric
@attribute V55 numeric
@attribute V56 numeric
@attribute V57 numeric
@attribute V58 numeric
@attribute V59 numeric
@attribute V60 numeric
@attribute V61 numeric
@attribute V62 numeric
@attribute V63 numeric
@attribute V64 numeric
@attribute V65 numeric
@attribute V66 numeric
@attribute V67 numeric
@attribute V68 numeric
@attribute V69 numeric
@attribute V70 numeric
@attribute V71 numeric
@attribute V72 numeric
@attribute Class {1,2}

@data
0.12,0.077922,0.070423,0.068493,0.083333,0.054054,0.054054,0.08,0.131868,0.166667,0.321839,0.367816,0.344444,0.28125,0.311111,0.370787,0.294118,0.240506,0.266667,0.253521,0.206897,0.193548,0.207792,0.192771,0.284091,0.216667,0.429022,0.437299,0.449045,0.446945,0.456869,0.465409,0.435737,0.431611,0.465465,0.522857,0.569149,0.556701,0.526185,0.522277,0.518703,0.520202,0.501235,0.493827,0.494737,0.5,0.508721,0.510386,0.529412,0.532308,0.516291,0.486486,0.449367,0.222222,0.613458,0.469449,0.537801,0.264368,0.151515,0.575622,0.482934,0.468182,0.320346,0.070707,0.583624,0.445134,0.412371,0.494177,0.586282,0.546667,0.709091,0.0,1
0.146667,0.220779,0.197183,0.205479,0.125,0.202703,0.189189,0.213333,0.197802,0.214286,0.310345,0.471264,0.477778,0.395833,0.4,0.41573,0.423529,0.405063,0.48,0.43662,0.45977,0.333333,0.38961,0.421687,0.397727,0.383333,0.55205,0.559486,0.570064,0.581994,0.587859,0.578616,0.554859,0.519757,0.507508,0.522857,0.547872,0.543814,0.528678,0.522277,0.518703,0.497475,0.503704,0.516049,0.531579,0.538889,0.55814,0.593472,0.626471,0.658462,0.516291,0.540541,0.474684,0.79798,0.585785,0.558867,0.603093,0.333333,0.272727,0.620009,0.470744,0.559091,0.376623,0.10101,0.640538,0.461975,0.484536,0.706835,0.791336,0.573333,0.527273,0.001453,1
0.493333,0.545455,0.43662,0.356164,0.319444,0.310811,0.22973,0.133333,0.131868,0.214286,0.264368,0.287356,0.377778,0.354167,0.333333,0.325843,0.188235,0.0,0.053333,0.126761,0.045977,0.064516,0.064935,0.13253,0.386364,0.266667,0.697161,0.726688,0.735669,0.752412,0.757188,0.748428,0.708464,0.647416,0.618619,0.608571,0.587766,0.56701,0.561097,0.561881,0.563591,0.568182,0.57284,0.582716,0.573684,0.588889,0.598837,0.599407,0.620588,0.627692,0.56391,0.624625,0.56962,0.959596,0.773085,0.703428,0.515464,0.51341,0.545455,0.590653,1.0,0.537879,0.497835,0.383838,0.628317,0.549725,0.536082,0.819747,0.836823,0.44,0.309091,0.020823,1
0.133333,0.077922,0.042254,0.150685,0.180556,0.162162,0.135135,0.173333,0.318681,0.309524,0.344828,0.482759,0.466667,0.4375,0.377778,0.337079,0.282353,0.367089,0.4,0.309859,0.241379,0.268817,0.194805,0.180723,0.397727,0.316667,0.656151,0.678457,0.678344,0.672026,0.670927,0.676101,0.670846,0.644377,0.600601,0.548571,0.507979,0.417526,0.359102,0.309406,0.274314,0.270202,0.291358,0.320988,0.328947,0.341667,0.354651,0.373887,0.408824,0.430769,0.433584,0.453453,0.613924,0.838384,0.68628,0.544958,0.573883,0.482759,0.121212,0.528182,0.519301,0.59697,0.4329,0.474747,0.640887,0.622762,0.556701,0.647595,0.890253,0.466667,0.527273,0.023245,1
0.173333,0.168831,0.225352,0.232877,0.194444,0.175676,0.189189,0.186667,0.10989,0.285714,0.264368,0.229885,0.2,0.177083,0.133333,0.168539,0.164706,0.177215,0.173333,0.295775,0.344828,0.376344,0.402597,0.518072,0.397727,0.25,0.466877,0.495177,0.506369,0.5209,0.543131,0.556604,0.551724,0.528875,0.516517,0.497143,0.473404,0.438144,0.411471,0.393564,0.379052,0.381313,0.4,0.422222,0.434211,0.45,0.430233,0.406528,0.417647,0.418462,0.378446,0.444444,0.579114,0.79798,0.473638,0.569548,0.54811,0.45977,0.777778,0.7217,0.501829,0.577273,0.454545,0.484848,0.663757,0.759972,0.536082,0.870886,0.828881,0.48,0.509091,0.008717,1
0.56,0.662338,0.71831,0.69863,0.763889,0.675676,0.72973,0.746667,0.571429,0.642857,0.655172,0.666667,0.6,0.572917,0.577778,0.606742,0.529412,0.35443,0.173333,0.084507,0.068966,0.021505,0.051948,0.024096,0.579545,0.6,0.425868,0.418006,0.39172,0.37299,0.329073,0.311321,0.282132,0.24924,0.213213,0.174286,0.170213,0.167526,0.189526,0.220297,0.259352,0.287879,0.316049,0.330864,0.292105,0.25,0.226744,0.21365,0.202941,0.193846,0.293233,0.243243,0.503165,0.858586,0.587533,0.423249,0.381443,0.404215,0.535354,0.612259,0.540634,0.4,0.30303,0.353535,0.632682,0.765999,0.371134,0.785823,0.881588,0.373333,0.345455,0.0,1
0.0,0.025974,0.014085,0.027397,0.097222,0.040541,0.040541,0.0,0.10989,0.297619,0.563218,0.482759,0.6,0.541667,0.566667,0.561798,0.635294,0.544304,0.453333,0.295775,0.195402,0.182796,0.155844,0.084337,0.545455,0.333333,0.208202,0.212219,0.210191,0.202572,0.223642,0.226415,0.213166,0.200608,0.288288,0.431429,0.473404,0.476804,0.471322,0.470297,0.481297,0.492424,0.493827,0.491358,0.481579,0.469444,0.462209,0.47181,0.479412,0.461538,0.488722,0.372372,0.348101,0.30303,0.729974,0.11997,0.328179,0.289272,0.111111,0.718882,0.270012,0.286364,0.134199,0.353535,0.723464,0.335224,0.216495,0.477975,0.675812,0.453333,0.6,0.0,1
0.28,0.285714,0.309859,0.232877,0.291667,0.243243,0.175676,0.106667,0.131868,0.357143,0.367816,0.218391,0.211111,0.145833,0.188889,0.235955,0.341176,0.278481,0.24,0.239437,0.149425,0.215054,0.272727,0.180723,0.272727,0.266667,0.488959,0.508039,0.484076,0.456592,0.43131,0.408805,0.363636,0.316109,0.315315,0.342857,0.380319,0.404639,0.413965,0.423267,0.438903,0.45202,0.449383,0.434568,0.410526,0.386111,0.372093,0.373887,0.405882,0.421538,0.448622,0.396396,0.490506,0.464646,0.842994,0.479136,0.503436,0.478927,0.181818,0.812353,0.445144,0.501515,0.415584,0.161616,0.692039,0.478107,0.494845,0.589367,0.675812,0.493333,0.545455,0.0,1
0.333333,0.298701,0.183099,0.232877,0.222222,0.189189,0.378378,0.573333,0.450549,0.642857,0.563218,0.724138,0.722222,0.583333,0.622222,0.561798,0.517647,0.43038,0.24,0.225352,0.264368,0.333333,0.220779,0.289157,0.647727,0.516667,0.495268,0.562701,0.598726,0.620579,0.638978,0.650943,0.661442,0.656535,0.624625,0.588571,0.569149,0.543814,0.528678,0.527228,0.543641,0.565657,0.567901,0.553086,0.521053,0.497222,0.482558,0.498516,0.482353,0.458462,0.561404,0.552553,0.541139,0.59596,0.763472,0.565077,0.556701,0.48659,0.161616,0.767262,0.399431,0.568182,0.515152,0.050505,0.671788,0.467116,0.56701,0.591899,0.66065,0.506667,0.509091,0.0,1
0.36,0.25974,0.366197,0.39726,0.458333,0.594595,0.486486,0.426667,0.406593,0.416667,0.344828,0.333333,0.233333,0.197917,0.088889,0.168539,0.223529,0.227848,0.186667,0.197183,0.241379,0.16129,0.142857,0.120482,0.409091,0.333333,0.473186,0.446945,0.423567,0.411576,0.386581,0.358491,0.30721,0.261398,0.243243,0.251429,0.287234,0.309278,0.334165,0.346535,0.359102,0.376263,0.390123,0.390123,0.360526,0.338889,0.322674,0.326409,0.335294,0.332308,0.373434,0.327327,0.572785,0.242424,0.725896,0.275211,0.475945,0.494253,0.212121,0.791217,0.385819,0.50303,0.424242,0.272727,0.60405,0.366602,0.515464,0.579241,0.629603,0.466667,0.436364,0.0,1
0.04,0.077922,0.15493,0.150685,0.236111,0.256757,0.351351,0.413333,0.263736,0.261905,0.425287,0.482759,0.511111,0.489583,0.455556,0.460674,0.411765,0.329114,0.333333,0.492958,0.436782,0.419355,0.454545,0.373494,0.443182,0.416667,0.340694,0.337621,0.366242,0.356913,0.386581,0.402516,0.39185,0.379939,0.378378,0.38,0.43617,0.466495,0.461347,0.45297,0.446384,0.436869,0.434568,0.449383,0.463158,0.486111,0.508721,0.537092,0.561765,0.581538,0.443609,0.423423,0.496835,0.141414,0.567725,0.449578,0.479381,0.544061,0.131313,0.542039,0.430313,0.489394,0.510823,0.141414,0.403806,0.451161,0.546392,0.373671,0.387004,0.533333,0.581818,0.0,1
0.28,0.233766,0.15493,0.205479,0.194444,0.22973,0.202703,0.253333,0.197802,0.333333,0.367816,0.402299,0.433333,0.34375,0.355556,0.505618,0.482353,0.341772,0.453333,0.535211,0.206897,0.010753,0.207792,0.156627,0.420455,0.333333,0.621451,0.636656,0.636943,0.649518,0.674121,0.691824,0.670846,0.629179,0.603604,0.58,0.569149,0.56701,0.53616,0.517327,0.501247,0.535354,0.535802,0.538272,0.542105,0.547222,0.540698,0.5727,0.597059,0.612308,0.531328,0.57958,0.544304,0.656566,0.628896,0.67536,0.43299,0.448276,0.505051,0.559652,0.606258,0.463636,0.502165,0.010101,0.554818,0.617266,0.474227,0.651139,0.714801,0.413333,0.327273,0.031961,1
0.373333,0.467532,0.577465,0.438356,0.458333,0.5,0.567568,0.613333,0.494505,0.630952,0.597701,0.666667,0.588889,0.53125,0.555556,0.595506,0.564706,0.544304,0.546667,0.577465,0.505747,0.451613,0.545455,0.506024,0.579545,0.666667,0.637224,0.636656,0.627389,0.614148,0.603834,0.59434,0.567398,0.519757,0.441441,0.394286,0.359043,0.314433,0.289277,0.257426,0.246883,0.234848,0.224691,0.234568,0.239474,0.244444,0.241279,0.249258,0.273529,0.270769,0.418546,0.357357,0.632911,0.777778,0.521599,0.490871,0.37457,0.475096,0.656566,0.610615,0.65644,0.431818,0.415584,0.191919,0.629015,0.674526,0.43299,0.882025,0.900361,0.306667,0.345455,0.0,1
0.453333,0.454545,0.535211,0.438356,0.430556,0.540541,0.459459,0.386667,0.274725,0.238095,0.126437,0.045977,0.133333,0.1875,0.166667,0.213483,0.270588,0.189873,0.253333,0.211268,0.103448,0.215054,0.233766,0.120482,0.363636,0.3,0.299685,0.315113,0.321656,0.321543,0.338658,0.342767,0.326019,0.303951,0.285285,0.265714,0.276596,0.278351,0.291771,0.299505,0.319202,0.333333,0.362963,0.358025,0.310526,0.291667,0.27907,0.281899,0.291176,0.276923,0.340852,0.285285,0.46519,0.292929,0.631518,0.291853,0.388316,0.344828,0.272727,0.492485,0.510362,0.359091,0.316017,0.313131,0.568436,0.639957,0.340206,0.49519,0.646931,0.453333,0.690909,0.0,1
0.146667,0.090909,0.197183,0.164384,0.222222,0.108108,0.040541,0.093333,0.208791,0.345238,0.172414,0.218391,0.133333,0.052083,0.077778,0.168539,0.011765,0.075949,0.106667,0.197183,0.091954,0.075269,0.103896,0.096386,0.25,0.116667,0.280757,0.273312,0.27707,0.276527,0.265176,0.257862,0.216301,0.191489,0.21021,0.251429,0.303191,0.309278,0.319202,0.321782,0.329177,0.340909,0.362963,0.375309,0.323684,0.3,0.273256,0.25816,0.267647,0.261538,0.340852,0.264264,0.286392,0.616162,0.611127,0.286637,0.484536,0.350575,0.161616,0.794739,0.370784,0.40303,0.281385,0.212121,0.748778,0.336997,0.360825,0.535696,0.644043,0.586667,0.672727,0.0,1
0.16,0.090909,0.042254,0.013699,0.041667,0.054054,0.081081,0.146667,0.197802,0.27381,0.586207,0.597701,0.566667,0.458333,0.5,0.516854,0.505882,0.417722,0.453333,0.422535,0.287356,0.225806,0.324675,0.192771,0.511364,0.366667,0.287066,0.299035,0.267516,0.247588,0.249201,0.245283,0.238245,0.270517,0.315315,0.4,0.454787,0.440722,0.42394,0.388614,0.369077,0.366162,0.377778,0.395062,0.402632,0.413889,0.430233,0.448071,0.488235,0.504615,0.390977,0.348348,0.382911,0.141414,0.518206,0.434923,0.54811,0.43295,0.161616,0.574918,0.427672,0.49697,0.380952,0.232323,0.536313,0.497961,0.474227,0.396962,0.420217,0.626667,0.545455,0.0,1
0.28,0.298701,0.197183,0.109589,0.083333,0.081081,0.256757,0.48,0.538462,0.702381,0.735632,0.804598,0.777778,0.760417,0.822222,0.808989,0.776471,0.746835,0.733333,0.690141,0.586207,0.44086,0.441558,0.361446,0.761364,0.666667,0.539432,0.562701,0.570064,0.565916,0.5623,0.562893,0.557994,0.528875,0.486486,0.451429,0.433511,0.414948,0.411471,0.408416,0.413965,0.421717,0.446914,0.45679,0.436842,0.413889,0.380814,0.367953,0.370588,0.356923,0.426065,0.447447,0.462025,0.626263,0.684532,0.59687,0.487973,0.268199,0.929293,0.638563,0.600163,0.439394,0.242424,0.424242,0.588687,0.65538,0.360825,0.82481,0.79278,0.506667,0.327273,0.027119,1
0.266667,0.298701,0.380282,0.315068,0.291667,0.256757,0.243243,0.226667,0.252747,0.369048,0.298851,0.333333,0.288889,0.21875,0.255556,0.235955,0.188235,0.126582,0.013333,0.112676,0.045977,0.182796,0.168831,0.048193,0.272727,0.25,0.362776,0.353698,0.356688,0.353698,0.338658,0.311321,0.282132,0.255319,0.273273,0.297143,0.31383,0.319588,0.336658,0.351485,0.369077,0.391414,0.414815,0.437037,0.381579,0.35,0.30814,0.326409,0.338235,0.310769,0.393484,0.321321,0.281646,0.676768,0.694436,0.201192,0.443299,0.264368,0.232323,0.708079,0.308411,0.362121,0.207792,0.212121,0.54155,0.115582,0.278351,0.500759,0.690975,0.546667,0.545455,0.0,1
0.04,0.064935,0.042254,0.109589,0.097222,0.013514,0.013514,0.066667,0.087912,0.440476,0.505747,0.413793,0.377778,0.364583,0.366667,0.348315,0.411765,0.481013,0.44,0.380282,0.275862,0.236559,0.207792,0.012048,0.409091,0.283333,0.302839,0.302251,0.296178,0.321543,0.332268,0.295597,0.266458,0.25228,0.303303,0.397143,0.446809,0.443299,0.44389,0.440594,0.453865,0.464646,0.476543,0.466667,0.434211,0.416667,0.40407,0.418398,0.429412,0.421538,0.461153,0.372372,0.433544,0.232323,0.536266,0.31545,0.572165,0.501916,0.181818,0.554251,0.344169,0.556061,0.502165,0.222222,0.53963,0.32512,0.56701,0.461772,0.457762,0.626667,0.6,0.0,1
0.026667,0.038961,0.014085,0.109589,0.083333,0.013514,0.067568,0.133333,0.142857,0.142857,0.08046,0.103448,0.3,0.270833,0.2,0.224719,0.176471,0.253165,0.24,0.197183,0.195402,0.129032,0.090909,0.084337,0.215909,0.133333,0.413249,0.40836,0.404459,0.424437,0.4377,0.424528,0.423197,0.431611,0.429429,0.442857,0.489362,0.530928,0.53616,0.507426,0.521197,0.540404,0.54321,0.530864,0.515789,0.511111,0.508721,0.504451,0.505882,0.507692,0.536341,0.471471,0.487342,0.262626,0.660355,0.423249,0.524055,0.517241,0.080808,0.536167,0.511174,0.536364,0.441558,0.131313,0.520251,0.541925,0.536082,0.378734,0.554513,0.533333,0.363636,0.0,1
0.173333,0.051948,0.112676,0.109589,0.083333,0.067568,0.135135,0.013333,0.076923,0.107143,0.022989,0.057471,0.155556,0.1875,0.144444,0.224719,0.352941,0.329114,0.186667,0.211268,0.218391,0.172043,0.194805,0.13253,0.272727,0.133333,0.507886,0.524116,0.531847,0.533762,0.543131,0.54717,0.539185,0.516717,0.501502,0.48,0.473404,0.5,0.528678,0.529703,0.53616,0.517677,0.530864,0.51358,0.5,0.502778,0.502907,0.495549,0.5,0.495385,0.533835,0.504505,0.458861,0.828283,0.570638,0.364133,0.4811,0.394636,0.151515,0.480507,0.377286,0.434848,0.255411,0.191919,0.474162,0.338947,0.360825,0.67443,0.864982,0.466667,0.4,0.0,1
0.093333,0.116883,0.126761,0.191781,0.347222,0.432432,0.378378,0.226667,0.296703,0.47619,0.505747,0.586207,0.644444,0.645833,0.511111,0.516854,0.564706,0.531646,0.586667,0.591549,0.436782,0.387097,0.441558,0.433735,0.613636,0.516667,0.507886,0.514469,0.512739,0.536977,0.549521,0.559748,0.551724,0.525836,0.513514,0.485714,0.50266,0.494845,0.476309,0.455446,0.421446,0.416667,0.432099,0.441975,0.431579,0.430556,0.438953,0.456973,0.473529,0.489231,0.443609,0.468468,0.452532,0.828283,0.432566,0.394436,0.47079,0.373563,0.191919,0.424143,0.404307,0.431818,0.233766,0.282828,0.378492,0.437334,0.371134,0.701266,0.874368,0.453333,0.472727,0.001453,1
0.466667,0.402597,0.408451,0.410959,0.361111,0.283784,0.189189,0.186667,0.208791,0.22619,0.264368,0.298851,0.311111,0.354167,0.355556,0.404494,0.435294,0.35443,0.426667,0.56338,0.482759,0.376344,0.428571,0.46988,0.386364,0.433333,0.520505,0.543408,0.55414,0.569132,0.587859,0.59434,0.579937,0.553191,0.513514,0.465714,0.425532,0.378866,0.349127,0.326733,0.304239,0.295455,0.31358,0.345679,0.35,0.355556,0.357558,0.37092,0.391176,0.396923,0.343358,0.411411,0.522152,0.575758,0.42441,0.657725,0.37457,0.417625,0.575758,0.456552,0.659488,0.386364,0.316017,0.575758,0.54801,0.513739,0.371134,0.774177,0.804332,0.36,0.363636,0.012107,1
0.56,0.467532,0.478873,0.479452,0.513889,0.5,0.608108,0.573333,0.43956,0.440476,0.528736,0.482759,0.488889,0.416667,0.366667,0.449438,0.423529,0.443038,0.466667,0.507042,0.482759,0.483871,0.545455,0.433735,0.431818,0.583333,0.422713,0.44373,0.458599,0.469453,0.479233,0.481132,0.46395,0.43769,0.408408,0.371429,0.353723,0.314433,0.291771,0.274752,0.256858,0.265152,0.296296,0.333333,0.357895,0.375,0.389535,0.406528,0.429412,0.424615,0.298246,0.36036,0.515823,0.858586,0.411885,0.520119,0.264605,0.411877,0.555556,0.342179,0.462414,0.295455,0.363636,0.686869,0.29801,0.638362,0.319588,0.832911,0.852708,0.253333,0.345455,0.039225,1
0.413333,0.428571,0.380282,0.410959,0.388889,0.297297,0.22973,0.293333,0.384615,0.380952,0.482759,0.586207,0.622222,0.53125,0.577778,0.52809,0.470588,0.417722,0.24,0.267606,0.195402,0.236559,0.233766,0.192771,0.545455,0.466667,0.438486,0.453376,0.436306,0.434084,0.43131,0.421384,0.388715,0.358663,0.36036,0.368571,0.406915,0.42268,0.426434,0.435644,0.441397,0.449495,0.461728,0.474074,0.452632,0.433333,0.418605,0.4273,0.429412,0.412308,0.446115,0.411411,0.452532,0.787879,0.333528,0.083706,0.271478,0.37931,0.40404,0.279944,0.217188,0.263636,0.341991,0.30303,0.292074,0.285588,0.28866,0.650633,0.787004,0.32,0.581818,0.0,1
