@relation airlines-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Airline {US,AA,AS,CO,DL,B6,HA,OO,9E,OH,EV,XE,YV,UA,MQ,FL,F9,WN}
@attribute Flight numeric
@attribute AirportFrom {PHX,LAX,SFO,ANC,LAS,SLC,DEN,ONT,FAI,BQN,PSE,HNL,BIS,IYK,EWR,BOS,MKE,GFK,OMA,GSO,LMT,SEA,MCO,TPA,DLH,MSP,FAR,MFE,MSY,VPS,BWI,MAF,LWS,RST,ALB,DSM,CHS,MSN,JAX,SAT,PNS,BHM,LIT,SAV,BNA,ICT,ECP,DHN,MGM,CAE,PWM,ACV,EKO,PHL,ATL,PDX,RIC,BTR,HRL,MYR,TUS,SBN,CAK,TVC,CLE,ORD,DAY,MFR,BTV,TLH,TYS,DFW,FLL,AUS,CHA,CMH,LRD,BRO,CRP,LAN,PVD,FWA,JFK,LGA,OKC,PIT,PBI,ORF,DCA,AEX,SYR,SHV,VLD,BDL,FAT,BZN,RDM,LFT,IPL,EAU,ERI,BUF,IAH,MCI,AGS,ABI,GRR,LBB,CLT,LEX,MBS,MOD,AMA,SGF,AZO,ABE,SWF,BGM,AVP,FNT,GSP,ATW,ITH,TUL,COS,ELP,ABQ,SMF,STL,IAD,DTW,RDU,RSW,OAK,ROC,IND,CVG,MDW,SDF,ABY,TRI,XNA,ROA,MLI,LYH,EVV,HPN,FAY,EWN,CSG,GPT,MLU,MOB,OAJ,CHO,ILM,BMI,PHF,ACY,JAN,CID,GRK,HOU,CRW,HTS,PSC,BOI,SBP,CLD,PSP,SBA,MEM,MRY,GEG,RDD,PAH,CMX,SPI,EUG,CIC,PIH,SGU,COD,MIA,MHT,GRB,FSD,SJU,AVL,BFL,RAP,DRO,PIA,OGG,SIT,TXK,RNO,DAL,SCE,MEI,MDT,FCA,SJC,KOA,PLN,SAN,GNV,HLN,GJT,CPR,FSM,CMI,GTF,HDN,ITO,MTJ,HSV,BTM,BIL,COU,MSO,SMX,TWF,ISP,GCC,LIH,LNK,DAB,SNA,MQT,LGB,CWA,LSE,BUR,ACT,MHK,MOT,IDA,SUN,GTR,MLB,SRQ,JAC,ASE,LCH,JNU,ROW,BQK,YUM,FLG,EGE,GUC,EYW,RKS,BGR,ELM,ADQ,OTZ,OTH,STT,KTN,BET,SJT,CDC,CEC,SPS,SCC,STX,OME,MKG,WRG,TYR,BRW,GGG,PSG,BKG,YAK,CLL,SAF,CYS,LWB,CDV,FLO,BLI,DBQ,TOL,UTM,PIE,ADK,ABR,TEX,MMH,GUM}
@attribute AirportTo {CLT,DFW,SEA,IAH,MSP,DTW,ORD,ATL,PDX,JFK,SLC,HNL,PHX,MCO,OGG,LAX,KOA,ITO,SFO,MIA,IAD,SMF,PHL,LIH,DEN,LGA,MEM,CVG,YUM,CWA,MKE,BQN,FAI,LAS,ANC,BOS,LGB,FLL,SJU,EWR,DCA,BWI,RDU,MCI,TYS,SAN,ONT,OAK,MDW,BNA,DAL,CLE,JAX,JNU,RNO,ELP,SAT,OTZ,MBS,BDL,STL,HOU,AUS,SNA,SJC,LIT,TUS,TUL,CMH,LAN,IND,AMA,CRP,PIT,RKS,FWA,TPA,PBI,JAN,DSM,ADQ,GRB,PVD,ABQ,SDF,RSW,MSY,BUR,BOI,TLH,BHM,ACV,ORF,BET,KTN,RIC,SRQ,BTR,XNA,MHT,GRR,SBN,SBA,ROA,CID,GPT,MFR,SGU,HPN,OMA,OTH,GSP,LMT,BUF,MSN,BFL,CAE,HRL,OKC,SYR,COS,BTV,CDC,SCC,DAY,SJT,TVC,ROC,ISP,MRY,SBP,MLI,MOB,CIC,SAV,FAT,EKO,GEG,ECP,LFT,SUN,HSV,SHV,CHA,CAK,BZN,MAF,GSO,MDT,PHF,ICT,AZO,RAP,CHS,CLD,MKG,VPS,PIH,ATW,AGS,PNS,BIL,SPI,FAR,CPR,PIA,SPS,TWF,LBB,ALB,CEC,DRO,GJT,GNV,RST,AVL,GRK,PSP,LEX,TRI,SGF,FSM,RDD,OME,MFE,LSE,BMI,MYR,FAY,FSD,EUG,MGM,EVV,MLB,FNT,STT,WRG,ABE,BIS,MOT,MLU,GFK,RDM,COU,LRD,PSC,MOD,PWM,ILM,ABY,CRW,TXK,BRO,BRW,EYW,DAB,ROW,ABI,EAU,TYR,MSO,FLG,CSG,VLD,DHN,OAJ,AEX,CHO,SAF,GGG,FCA,ASE,BKG,MHK,LNK,MQT,YAK,GTR,SMX,SWF,ITH,AVP,ELM,BGM,SIT,PSG,CYS,CLL,SCE,LWB,LCH,GCC,IYK,LWS,COD,HLN,BQK,GTF,DLH,BTM,EGE,IDA,JAC,HDN,MTJ,CMX,CMI,CDV,LYH,ACT,STX,IPL,PAH,HTS,MEI,BLI,ERI,EWN,FLO,ACY,DBQ,TOL,GUC,PLN,BGR,PSE,PIE,UTM,ADK,ABR,TEX,MMH,GUM}
@attribute DayOfWeek {1,2,3,4,5,6,7}
@attribute Time numeric
@attribute Length numeric
@attribute Delay {0,1}

@data
XE,0.386919,HRL,IAH,3,0.223933,0.10687,0
YV,0.333291,MYR,CLT,3,0.223933,0.094656,0
HA,0.013055,HNL,LIH,3,0.224633,0.053435,0
UA,0.073595,SEA,DEN,3,0.224633,0.242748,0
OO,0.85025,TUS,DEN,3,0.226032,0.170992,0
YV,0.933444,SBN,ORD,3,0.226732,0.070229,0
9E,0.46845,CAK,DTW,3,0.227432,0.116031,0
9E,0.476641,TVC,DTW,3,0.227432,0.114504,0
9E,0.486753,CLE,ATL,3,0.227432,0.19542,0
AA,0.086138,ORD,MIA,3,0.227432,0.282443,1
B6,0.09305,BQN,JFK,3,0.227432,0.352672,0
CO,0.059132,ORD,IAH,3,0.227432,0.250382,1
OH,0.821963,DAY,DTW,3,0.227432,0.114504,0
OO,0.857161,MFR,PDX,3,0.227432,0.112977,0
XE,0.366569,MKE,IAH,3,0.227432,0.265649,0
EV,0.908742,BTV,IAD,3,0.228132,0.167939,0
9E,0.511583,TLH,ATL,3,0.229531,0.103817,0
9E,0.536926,TYS,ATL,3,0.230931,0.087023,0
CO,0.027262,DFW,IAH,3,0.230931,0.090076,1
DL,0.271599,BOS,DTW,3,0.230931,0.219847,0
DL,0.332267,RIC,ATL,3,0.230931,0.166412,0
DL,0.335978,FLL,ATL,3,0.230931,0.180153,0
DL,0.087418,AUS,ATL,3,0.230931,0.20458,0
EV,0.71445,CHA,ATL,3,0.230931,0.071756,0
MQ,0.583899,CMH,LGA,3,0.230931,0.152672,0
XE,0.334699,LRD,IAH,3,0.230931,0.100763,1
XE,0.384615,BRO,IAH,3,0.230931,0.10687,0
XE,0.385767,CRP,IAH,3,0.230931,0.090076,1
XE,0.763983,LAN,ORD,3,0.230931,0.108397,0
9E,0.468194,ALB,ATL,3,0.23443,0.279389,0
9E,0.494176,SAT,MEM,3,0.23443,0.181679,1
9E,0.505312,PVD,DTW,3,0.23443,0.206107,1
9E,0.530142,FWA,DTW,3,0.23443,0.090076,0
AA,0.145911,JFK,MIA,3,0.23443,0.290076,0
AA,0.165877,DFW,MIA,3,0.23443,0.244275,0
AA,0.296813,DFW,ORD,3,0.23443,0.21374,0
CO,0.214514,PHL,IAH,3,0.23443,0.334351,0
CO,0.220914,BWI,IAH,3,0.23443,0.317557,0
CO,0.03059,AUS,IAH,3,0.23443,0.083969,0
CO,0.035454,SAT,IAH,3,0.23443,0.082443,0
CO,0.080891,LGA,IAH,3,0.23443,0.358779,0
DL,0.140023,OKC,ATL,3,0.23443,0.193893,0
DL,0.142199,PIT,ATL,3,0.23443,0.2,1
DL,0.192628,LAX,DTW,3,0.23443,0.412214,0
DL,0.202099,SFO,DTW,3,0.23443,0.412214,0
DL,0.296813,PBI,ATL,3,0.23443,0.172519,0
DL,0.31742,ORF,ATL,3,0.23443,0.183206,0
DL,0.34673,DFW,ATL,3,0.23443,0.201527,0
DL,0.37604,DCA,ATL,3,0.23443,0.183206,1
EV,0.658006,AEX,ATL,3,0.23443,0.181679,0
EV,0.667733,SYR,ATL,3,0.23443,0.241221,0
EV,0.669653,BTR,ATL,3,0.23443,0.148092,0
EV,0.686164,SHV,ATL,3,0.23443,0.187786,1
EV,0.703955,VLD,ATL,3,0.23443,0.094656,0
OH,0.801613,BDL,CVG,3,0.23443,0.203053,0
OH,0.83809,MFE,MEM,3,0.23443,0.180153,0
OO,0.819916,FAT,SFO,3,0.23443,0.068702,0
OO,0.850634,BZN,DEN,3,0.23443,0.163359,0
OO,0.886215,PHX,LAX,3,0.23443,0.129771,0
OO,0.891207,RDM,PDX,3,0.23443,0.08855,0
US,0.182004,DCA,CLT,3,0.23443,0.129771,0
XE,0.37348,LFT,IAH,3,0.23443,0.08855,0
XE,0.761551,CAK,ORD,3,0.23443,0.145038,0
OO,0.829259,IPL,YUM,3,0.235129,0.051908,0
OO,0.87572,EAU,CWA,3,0.235129,0.048855,0
UA,0.096634,SFO,DEN,3,0.236529,0.241221,0
OO,0.396519,OMA,MKE,3,0.237229,0.123664,1
9E,0.475746,ERI,DTW,3,0.237929,0.099237,1
B6,0.013567,BUF,JFK,3,0.237929,0.126718,0
DL,0.159606,IAH,ATL,3,0.237929,0.198473,1
DL,0.253936,DAY,ATL,3,0.237929,0.174046,0
DL,0.305388,MKE,ATL,3,0.237929,0.196947,1
DL,0.307692,PHL,DTW,3,0.237929,0.175573,0
DL,0.093818,MCI,ATL,3,0.237929,0.196947,0
EV,0.66095,AGS,ATL,3,0.237929,0.091603,0
FL,0.042237,PHL,ATL,3,0.237929,0.221374,0
MQ,0.349802,ABI,DFW,3,0.237929,0.076336,0
MQ,0.357737,GRR,DFW,3,0.237929,0.267176,0
MQ,0.385639,FAT,LAX,3,0.237929,0.099237,0
MQ,0.426341,LBB,DFW,3,0.237929,0.10687,0
MQ,0.464738,CLT,MIA,3,0.237929,0.183206,1
MQ,0.483809,LIT,ORD,3,0.237929,0.160305,0
MQ,0.491617,MSP,ORD,3,0.237929,0.145038,1
MQ,0.498016,PHL,ORD,3,0.237929,0.21374,0
MQ,0.513503,LEX,ORD,3,0.237929,0.145038,0
OH,0.831563,ORD,ATL,3,0.237929,0.19542,1
OH,0.84833,GRR,DTW,3,0.237929,0.09313,0
9E,0.561884,MBS,DTW,3,0.238628,0.090076,0
HA,0.027774,HNL,KOA,3,0.239328,0.062595,0
OO,0.885703,MOD,SFO,3,0.239328,0.058015,0
9E,0.50352,EWR,DTW,3,0.241428,0.198473,1
9E,0.50608,LBB,MEM,3,0.241428,0.181679,0
9E,0.537438,TYS,CVG,3,0.241428,0.09771,0
9E,0.546909,AMA,MEM,3,0.241428,0.183206,0
B6,0.093946,JFK,BQN,3,0.241428,0.328244,0
DL,0.048125,BDL,DTW,3,0.241428,0.198473,0
HA,0.025726,HNL,ITO,3,0.241428,0.074809,0
MQ,0.366441,SGF,DFW,3,0.241428,0.137405,0
OH,0.801357,OMA,DTW,3,0.241428,0.20916,1
OH,0.820811,AZO,DTW,3,0.241428,0.08855,0
OO,0.897607,RDM,SFO,3,0.241428,0.154198,0
9E,0.469346,TYS,LGA,3,0.244927,0.2,0
9E,0.476514,ABE,DTW,3,0.244927,0.175573,0
9E,0.480481,SWF,DTW,3,0.244927,0.183206,0
9E,0.480737,BGM,DTW,3,0.244927,0.157252,0
9E,0.485601,SBN,CVG,3,0.244927,0.091603,1
9E,0.492001,AVP,DTW,3,0.244927,0.160305,0
9E,0.49264,FNT,DTW,3,0.244927,0.073282,0
9E,0.495328,BHM,DTW,3,0.244927,0.19084,0
9E,0.49584,GSP,DTW,3,0.244927,0.175573,0
9E,0.498144,FWA,ATL,3,0.244927,0.175573,0
9E,0.501984,IAH,MEM,3,0.244927,0.145038,0
9E,0.506336,ATW,MSP,3,0.244927,0.116031,1
9E,0.509919,DSM,MEM,3,0.244927,0.152672,1
9E,0.512863,BTV,JFK,3,0.244927,0.152672,0
9E,0.515167,ORF,DTW,3,0.244927,0.19084,1
9E,0.519263,LAN,DTW,3,0.244927,0.076336,0
9E,0.542429,ITH,DTW,3,0.244927,0.148092,1
9E,0.546653,ECP,MEM,3,0.244927,0.137405,0
9E,0.553309,DCA,JFK,3,0.244927,0.125191,0
AA,0.135031,TUL,DFW,3,0.244927,0.10687,0
AA,0.145783,SAT,DFW,3,0.244927,0.099237,0
AA,0.146167,TPA,DFW,3,0.244927,0.259542,0
AA,0.155382,DCA,DFW,3,0.244927,0.320611,0
AA,0.156662,COS,DFW,3,0.244927,0.183206,0
AA,0.179828,OMA,DFW,3,0.244927,0.19084,0
AA,0.202611,LAS,DFW,3,0.244927,0.244275,0
AA,0.204147,PDX,DFW,3,0.244927,0.343511,0
AA,0.204915,ELP,DFW,3,0.244927,0.152672,0
AA,0.206579,BDL,DFW,3,0.244927,0.396947,0
AA,0.208627,MSY,MIA,3,0.244927,0.160305,0
AA,0.213618,AUS,ORD,3,0.244927,0.251908,0
AA,0.224498,ABQ,DFW,3,0.244927,0.160305,0
AA,0.235249,OKC,DFW,3,0.244927,0.091603,0
AA,0.235761,BOS,ORD,3,0.244927,0.267176,0
AA,0.240241,SMF,DFW,3,0.244927,0.312977,0
AA,0.245744,EWR,MIA,3,0.244927,0.282443,0
AA,0.251376,STL,DFW,3,0.244927,0.175573,0
AA,0.255088,IAH,MIA,3,0.244927,0.206107,0
AA,0.260591,BNA,MIA,3,0.244927,0.206107,1
AA,0.263535,SEA,ORD,3,0.244927,0.374046,1
AA,0.269039,IAD,MIA,3,0.244927,0.244275,0
AA,0.281838,LGA,MIA,3,0.244927,0.290076,1
AA,0.294125,DTW,MIA,3,0.244927,0.290076,0
AA,0.294381,ORD,DFW,3,0.244927,0.229008,1
AA,0.056828,DCA,ORD,3,0.244927,0.19084,0
AA,0.067196,SFO,DFW,3,0.244927,0.328244,0
AA,0.067452,LAX,MIA,3,0.244927,0.427481,1
AA,0.070012,LAX,ORD,3,0.244927,0.366412,0
AA,0.070523,SFO,MIA,3,0.244927,0.480916,1
AA,0.083579,PHX,DFW,3,0.244927,0.198473,0
AA,0.09049,AUS,DFW,3,0.244927,0.091603,0
AS,0.05798,SEA,LAX,3,0.244927,0.229008,0
AS,0.006912,ANC,FAI,3,0.244927,0.08855,0
AS,0.076667,SEA,LAS,3,0.244927,0.218321,0
AS,0.007808,FAI,ANC,3,0.244927,0.10687,0
AS,0.010239,SEA,ANC,3,0.244927,0.334351,0
B6,0.127992,BOS,JFK,3,0.244927,0.108397,1
B6,0.144887,SYR,JFK,3,0.244927,0.129771,0
B6,0.156534,RDU,BOS,3,0.244927,0.154198,1
B6,0.019711,JFK,MCO,3,0.244927,0.256489,0
B6,0.020607,RSW,JFK,3,0.244927,0.238168,0
B6,0.216818,BOS,MCO,3,0.244927,0.29313,0
B6,0.002304,BTV,JFK,3,0.244927,0.128244,0
B6,0.031486,OAK,LGB,3,0.244927,0.117557,0
B6,0.047229,FLL,LGA,3,0.244927,0.242748,1
B6,0.047357,LGA,FLL,3,0.244927,0.265649,0
B6,0.056444,TPA,BOS,3,0.244927,0.254962,0
B6,0.005632,ROC,JFK,3,0.244927,0.126718,0
B6,0.006528,MCO,JFK,3,0.244927,0.215267,0
B6,0.008575,FLL,JFK,3,0.244927,0.244275,1
B6,0.089594,JFK,SJU,3,0.244927,0.332824,0
CO,0.133623,CLE,IAH,3,0.244927,0.290076,0
CO,0.182644,CLT,IAH,3,0.244927,0.274809,0
CO,0.206835,MCI,IAH,3,0.244927,0.180153,1
CO,0.231537,SMF,IAH,3,0.244927,0.335878,0
CO,0.232177,OMA,IAH,3,0.244927,0.210687,1
CO,0.039293,PDX,IAH,3,0.244927,0.363359,0
CO,0.0599,SFO,IAH,3,0.244927,0.343511,1
CO,0.097018,DCA,IAH,3,0.244927,0.314504,0
CO,0.011263,IAH,EWR,3,0.244927,0.305344,0
DL,0.138615,ANC,MSP,3,0.244927,0.49771,0
DL,0.141431,SEA,SLC,3,0.244927,0.183206,0
DL,0.147959,CMH,ATL,3,0.244927,0.167939,0
DL,0.15103,RSW,ATL,3,0.244927,0.167939,0
DL,0.159734,PWM,ATL,3,0.244927,0.29313,0
DL,0.165877,JFK,ATL,3,0.244927,0.256489,0
DL,0.166389,IND,ATL,3,0.244927,0.160305,0
DL,0.175349,BOS,LGA,3,0.244927,0.103817,0
DL,0.179189,BOS,ATL,3,0.244927,0.290076,0
DL,0.18482,DCA,DTW,3,0.244927,0.155725,0
DL,0.185076,LGA,ATL,3,0.244927,0.254962,0
DL,0.192372,MCI,DTW,3,0.244927,0.180153,0
DL,0.204915,LAS,ATL,3,0.244927,0.340458,0
DL,0.207859,BWI,ATL,3,0.244927,0.183206,0
DL,0.226034,CLT,DTW,3,0.244927,0.175573,0
DL,0.234225,PDX,SLC,3,0.244927,0.163359,1
DL,0.241649,CVG,ATL,3,0.244927,0.157252,0
DL,0.249328,RDU,ATL,3,0.244927,0.132824,0
DL,0.282094,MDW,ATL,3,0.244927,0.183206,0
DL,0.291693,STL,ATL,3,0.244927,0.167939,1
DL,0.311788,CLT,ATL,3,0.244927,0.125191,1
DL,0.317292,SEA,DTW,3,0.244927,0.38626,0
DL,0.323051,BOS,MSP,3,0.244927,0.320611,1
DL,0.323691,BZN,MSP,3,0.244927,0.210687,0
DL,0.330219,SDF,ATL,3,0.244927,0.128244,0
DL,0.359017,SFO,MSP,3,0.244927,0.338931,0
DL,0.360297,LAS,DTW,3,0.244927,0.355725,0
DL,0.092666,SFO,SLC,3,0.244927,0.172519,0
EV,0.632408,JAX,DCA,3,0.244927,0.170992,0
EV,0.632919,ABY,ATL,3,0.244927,0.076336,0
EV,0.637143,TRI,ATL,3,0.244927,0.10229,0
EV,0.639575,XNA,ATL,3,0.244927,0.181679,0
EV,0.641239,ROA,DTW,3,0.244927,0.149618,0
