@relation NOAA-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute class {1,2}

@data
0.1881,0.287512,0.009926,0.245968,0.523297,0.426752,0.184902,0.246902,1
0.184261,0.275895,0.008997,0.266129,0.240143,0.195329,0.220526,0.227836,1
0.259117,0.337851,0.006809,0.399194,0.247312,0.214437,0.373198,0.219256,1
0.350288,0.404647,0.008644,0.5,0.340502,0.322718,0.346904,0.36225,1
0.388676,0.450145,0.008975,0.5,0.293907,0.29724,0.449534,0.35367,1
0.476967,0.568248,0.007494,0.512097,0.483871,0.426752,0.449534,0.458532,1
0.278311,0.342691,0.009572,0.346774,0.301075,0.2569,0.287532,0.324118,1
0.257198,0.346563,0.011584,0.346774,0.290323,0.14862,0.270568,0.28694,2
0.341651,0.442401,0.010456,0.197581,0.121864,0.14862,0.329941,0.409914,2
0.394434,0.519845,0.010036,0.270161,0.175627,0.174098,0.363868,0.458532,1
0.446257,0.566312,0.008732,0.326613,0.318996,0.174098,0.43257,0.50429,2
0.432821,0.533398,0.008179,0.33871,0.498208,0.55414,0.440204,0.448046,1
0.354127,0.42788,0.010699,0.362903,0.261649,0.322718,0.389313,0.372736,1
0.428983,0.529526,0.009506,0.383065,0.16129,0.174098,0.406277,0.49571,1
0.394434,0.508228,0.009683,0.302419,0.455197,0.322718,0.363868,0.458532,1
0.319578,0.416263,0.011562,0.495968,0.293907,0.322718,0.312977,0.343184,1
0.345489,0.445305,0.010545,0.443548,0.121864,0.235669,0.389313,0.372736,1
0.448177,0.544046,0.009638,0.443548,0.272401,0.214437,0.449534,0.485224,1
0.456814,0.564376,0.00924,0.28629,0.301075,0.235669,0.43257,0.50429,2
0.518234,0.609874,0.007361,0.294355,0.064516,0.14862,0.566582,0.50429,1
0.514395,0.598258,0.006676,0.330645,0.247312,0.235669,0.499576,0.533842,1
0.463532,0.556631,0.008776,0.375,0.290323,0.322718,0.440204,0.525262,2
0.450096,0.553727,0.008975,0.399194,0.293907,0.426752,0.465649,0.485224,1
0.459693,0.573088,0.006853,0.274194,0.311828,0.511677,0.440204,0.50429,2
0.400192,0.513069,0.008577,0.342742,0.62724,0.426752,0.373198,0.448046,1
0.368522,0.451113,0.009926,0.415323,0.358423,0.278132,0.346904,0.409914,1
0.346449,0.42304,0.009926,0.415323,0.272401,0.235669,0.329941,0.381316,1
0.408829,0.495644,0.00882,0.435484,0.16129,0.29724,0.406277,0.458532,1
0.430902,0.525653,0.009484,0.25,0.139785,0.195329,0.389313,0.49571,2
0.380998,0.478219,0.010611,0.21371,0.415771,0.322718,0.356234,0.390848,1
0.245681,0.300097,0.01196,0.379032,0.340502,0.426752,0.279898,0.276454,1
0.378119,0.456922,0.009351,0.443548,0.311828,0.2569,0.389313,0.42898,1
0.377159,0.454985,0.009395,0.334677,0.27957,0.235669,0.380831,0.409914,1
0.386756,0.459826,0.010191,0.443548,0.283154,0.174098,0.41391,0.418494,1
0.424184,0.50242,0.01008,0.383065,0.379928,0.384289,0.41391,0.476644,1
0.541267,0.604066,0.007008,0.407258,0.580645,0.511677,0.652248,0.525262,1
0.574856,0.666989,0.00535,0.245968,0.505376,0.511677,0.602205,0.56244,2
0.451056,0.562439,0.006986,0.193548,0.584229,0.426752,0.406277,0.525262,2
0.460653,0.57212,0.007096,0.237903,0.444444,0.426752,0.490246,0.514776,1
0.631478,0.689255,0.00409,0.366935,0.673835,0.70276,0.652248,0.648236,1
0.547025,0.578896,0.006919,0.459677,0.408602,0.426752,0.575912,0.533842,1
0.558541,0.657309,0.00588,0.302419,0.437276,0.492569,0.525869,0.611058,2
0.555662,0.624395,0.004687,0.443548,0.473118,0.511677,0.609839,0.56244,2
0.598848,0.580833,0.006345,0.491935,0.222222,0.511677,0.661578,0.57102,1
0.523033,0.625363,0.008002,0.306452,0.584229,0.511677,0.575912,0.590086,2
0.526871,0.63698,0.006212,0.262097,0.620072,0.511677,0.558948,0.581506,2
0.493282,0.592449,0.005637,0.366935,0.577061,0.426752,0.533503,0.544328,2
0.475048,0.539206,0.008843,0.383065,0.34767,0.44586,0.490246,0.485224,1
0.504798,0.552759,0.008621,0.415323,0.247312,0.29724,0.473282,0.544328,1
0.524952,0.557599,0.008887,0.455645,0.204301,0.235669,0.525869,0.552908,1
0.525912,0.56728,0.009461,0.318548,0.132616,0.235669,0.558948,0.49571,1
0.549904,0.577928,0.007737,0.5,0.358423,0.384289,0.566582,0.525262,1
0.614203,0.586641,0.006168,0.572581,0.351254,0.426752,0.652248,0.590086,1
0.642994,0.613746,0.007383,0.491935,0.272401,0.426752,0.669211,0.638704,1
0.596929,0.570184,0.008069,0.391129,0.18638,0.29724,0.618321,0.544328,1
0.607486,0.575992,0.0084,0.483871,0.487455,0.384289,0.566582,0.648236,2
0.565259,0.600194,0.009064,0.346774,0.448029,0.343949,0.516539,0.638704,2
0.586372,0.529526,0.009086,0.447581,0.304659,0.235669,0.652248,0.533842,1
0.646833,0.600194,0.007074,0.395161,0.218638,0.2569,0.70229,0.57102,1
0.68714,0.673766,0.005151,0.370968,0.283154,0.322718,0.70229,0.667302,1
0.538388,0.619555,0.005107,0.217742,0.731183,0.598726,0.669211,0.525262,2
0.466411,0.544046,0.009108,0.471774,0.605735,0.511677,0.457167,0.525262,1
0.516315,0.57696,0.008688,0.451613,0.326165,0.426752,0.602205,0.50429,1
0.627639,0.631171,0.006654,0.471774,0.548387,0.598726,0.592875,0.630124,1
0.513436,0.510165,0.009108,0.564516,0.426523,0.426752,0.533503,0.49571,1
0.56142,0.553727,0.00966,0.540323,0.362007,0.322718,0.618321,0.533842,1
0.666987,0.61181,0.008555,0.487903,0.505376,0.511677,0.686175,0.686368,2
0.652591,0.703775,0.007207,0.387097,0.473118,0.322718,0.642918,0.686368,2
0.658349,0.689255,0.007494,0.467742,0.103943,0.2569,0.686175,0.667302,1
0.683301,0.625363,0.008489,0.520161,0.286738,0.29724,0.728584,0.600572,1
0.649712,0.598258,0.008688,0.528226,0.455197,0.322718,0.719254,0.600572,1
0.78119,0.70668,0.007383,0.532258,0.512545,0.511677,0.821883,0.7245,1
0.768714,0.766699,0.007582,0.435484,0.444444,0.426752,0.770992,0.742612,2
0.714971,0.667957,0.00924,0.391129,0.336918,0.343949,0.694656,0.7245,1
0.692898,0.634076,0.009705,0.435484,0.268817,0.29724,0.694656,0.656816,1
0.727447,0.653437,0.008201,0.556452,0.358423,0.322718,0.737913,0.696854,1
0.745681,0.697967,0.006123,0.459677,0.501792,0.511677,0.728584,0.7245,2
0.65739,0.724105,0.004598,0.379032,0.505376,0.426752,0.625954,0.686368,2
0.703455,0.655373,0.006742,0.483871,0.308244,0.29724,0.778626,0.638704,1
0.830134,0.869313,0.006809,0.504032,0.580645,0.598726,0.847328,0.79123,1
0.870441,0.919652,0.006941,0.282258,0.684588,0.511677,0.804919,0.896092,1
0.847409,0.911907,0.00714,0.53629,0.569892,0.426752,0.795589,0.868446,2
0.707294,0.798645,0.009041,0.459677,0.408602,0.29724,0.728584,0.753098,2
0.699616,0.774443,0.009196,0.491935,0.322581,0.322718,0.652248,0.7245,1
0.665067,0.774443,0.00745,0.310484,0.322581,0.426752,0.642918,0.71592,2
0.65643,0.74153,0.007715,0.322581,0.473118,0.363057,0.669211,0.675882,2
0.699616,0.758955,0.009152,0.471774,0.164875,0.174098,0.669211,0.705434,1
0.722649,0.789932,0.009019,0.520161,0.150538,0.174098,0.719254,0.696854,1
0.784069,0.848015,0.008511,0.46371,0.258065,0.174098,0.795589,0.753098,1
0.798464,0.85092,0.007605,0.423387,0.225806,0.278132,0.787956,0.761678,1
0.800384,0.874153,0.007649,0.379032,0.16129,0.235669,0.770992,0.801716,1
0.74952,0.836399,0.007627,0.427419,0.189964,0.235669,0.71162,0.78265,2
0.765835,0.868345,0.006963,0.330645,0.383513,0.44586,0.719254,0.819828,2
0.788868,0.869313,0.006588,0.41129,0.508961,0.511677,0.754877,0.810296,2
0.788868,0.85576,0.00619,0.552419,0.422939,0.44586,0.728584,0.819828,1
0.668906,0.763795,0.007693,0.354839,0.21147,0.29724,0.71162,0.705434,2
0.664107,0.749274,0.007826,0.41129,0.096774,0.235669,0.669211,0.71592,1
0.704415,0.811229,0.004156,0.294355,0.362007,0.426752,0.652248,0.761678,2
0.690979,0.78122,0.00577,0.278226,0.207885,0.235669,0.669211,0.7245,2
0.707294,0.793804,0.007185,0.435484,0.09319,0.235669,0.652248,0.7245,2
0.627639,0.684414,0.00913,0.455645,0.082437,0.235669,0.625954,0.619638,1
0.735125,0.789932,0.008113,0.556452,0.157706,0.235669,0.770992,0.7245,2
0.755278,0.780252,0.007936,0.512097,0.333333,0.278132,0.728584,0.753098,1
0.785029,0.833495,0.007317,0.467742,0.189964,0.174098,0.778626,0.78265,2
0.803263,0.832527,0.007383,0.483871,0.247312,0.14862,0.770992,0.78265,1
0.795585,0.878025,0.006875,0.431452,0.401434,0.29724,0.754877,0.819828,1
0.805182,0.877057,0.00672,0.447581,0.516129,0.343949,0.770992,0.838894,2
0.840691,0.908035,0.0063,0.46371,0.376344,0.426752,0.804919,0.847474,1
0.848369,0.915779,0.005283,0.475806,0.623656,0.532909,0.787956,0.868446,2
0.78119,0.864472,0.00535,0.387097,0.326165,0.384289,0.762511,0.801716,2
0.788868,0.844143,0.007759,0.596774,0.11828,0.14862,0.737913,0.801716,1
0.772553,0.847047,0.008887,0.419355,0.11828,0.235669,0.70229,0.801716,1
0.779271,0.843175,0.008666,0.532258,0.129032,0.214437,0.745547,0.810296,1
0.827255,0.881897,0.007649,0.471774,0.103943,0.214437,0.821883,0.819828,1
0.740883,0.775411,0.00798,0.415323,0.365591,0.384289,0.770992,0.742612,2
0.740883,0.832527,0.008047,0.423387,0.376344,0.426752,0.728584,0.761678,2
0.768714,0.86544,0.008356,0.443548,0.415771,0.278132,0.719254,0.801716,1
0.801344,0.893514,0.008599,0.407258,0.050179,0.14862,0.778626,0.810296,1
0.828215,0.909971,0.007538,0.375,0.010753,0.067941,0.795589,0.819828,1
0.856046,0.945789,0.006079,0.443548,0.189964,0.235669,0.795589,0.877026,1
0.784069,0.899322,0.005969,0.278226,0.215054,0.235669,0.787956,0.838894,2
0.761996,0.848015,0.006278,0.395161,0.290323,0.235669,0.70229,0.78265,2
0.776392,0.854792,0.007185,0.491935,0.046595,0.14862,0.787956,0.742612,1
0.834933,0.884802,0.006588,0.544355,0.408602,0.322718,0.814249,0.828408,1
0.865643,0.922556,0.006035,0.596774,0.46595,0.426752,0.838846,0.838894,1
0.814779,0.905131,0.00756,0.330645,0.462366,0.511677,0.821883,0.828408,2
0.821497,0.923524,0.008091,0.205645,0.25448,0.14862,0.795589,0.85796,1
0.900192,0.971926,0.006477,0.387097,0.376344,0.2569,0.881255,0.914204,1
0.850288,0.90029,0.007339,0.447581,0.315412,0.511677,0.838846,0.877026,2
0.836852,0.88577,0.007406,0.552419,0.329749,0.492569,0.821883,0.847474,2
0.856046,0.940949,0.005571,0.479839,0.53405,0.492569,0.890585,0.847474,2
0.791747,0.913843,0.005084,0.391129,0.139785,0.235669,0.719254,0.847474,2
0.828215,0.922556,0.004885,0.415323,0.222222,0.384289,0.831213,0.828408,1
0.896353,0.966118,0.005991,0.532258,0.326165,0.343949,0.838846,0.914204,1
0.863724,0.95547,0.0063,0.504032,0.383513,0.278132,0.821883,0.868446,2
0.828215,0.917715,0.007472,0.467742,0.265233,0.322718,0.795589,0.85796,2
0.858925,0.926428,0.00756,0.516129,0.394265,0.492569,0.821883,0.828408,2
0.932821,0.982575,0.007207,0.471774,0.480287,0.343949,0.890585,0.943756,1
0.926104,0.982575,0.008201,0.512097,0.21147,0.384289,0.864292,0.93327,1
0.90499,0.953533,0.008754,0.548387,0.340502,0.235669,0.871925,0.914204,1
0.943378,0.983543,0.007892,0.475806,0.322581,0.235669,0.881255,0.954242,1
0.928023,0.985479,0.007295,0.266129,0.308244,0.235669,0.854962,0.92469,1
0.897313,0.959342,0.006919,0.439516,0.25448,0.29724,0.838846,0.905624,1
0.902111,0.963214,0.006367,0.491935,0.193548,0.174098,0.854962,0.896092,2
0.8762,0.946757,0.006853,0.439516,0.179211,0.174098,0.838846,0.905624,2
0.899232,0.975799,0.007317,0.383065,0.261649,0.363057,0.838846,0.93327,2
0.838772,0.922556,0.008378,0.375,0.394265,0.384289,0.795589,0.877026,2
0.827255,0.819942,0.009329,0.596774,0.27957,0.235669,0.787956,0.810296,1
0.822457,0.846079,0.008577,0.596774,0.11828,0.14862,0.762511,0.828408,1
0.833013,0.89061,0.007826,0.443548,0.146953,0.195329,0.804919,0.819828,1
0.829175,0.905131,0.007516,0.302419,0.107527,0.235669,0.787956,0.838894,2
0.770633,0.862536,0.007317,0.415323,0.390681,0.29724,0.694656,0.819828,2
0.814779,0.8606,0.007958,0.475806,0.089606,0.14862,0.778626,0.819828,1
0.81094,0.859632,0.007759,0.467742,0.125448,0.2569,0.787956,0.78265,1
0.841651,0.873185,0.006389,0.447581,0.408602,0.426752,0.814249,0.828408,2
0.894434,0.917715,0.005615,0.403226,0.318996,0.44586,0.854962,0.887512,1
0.860845,0.852856,0.006986,0.451613,0.236559,0.235669,0.838846,0.828408,1
0.859885,0.912875,0.006101,0.5,0.544803,0.426752,0.804919,0.868446,2
0.866603,0.898354,0.0063,0.487903,0.476703,0.426752,0.787956,0.905624,2
0.814779,0.841239,0.00829,0.479839,0.164875,0.235669,0.804919,0.78265,1
0.835893,0.906099,0.00829,0.5,0.261649,0.29724,0.814249,0.868446,2
0.903071,0.961278,0.007804,0.560484,0.419355,0.343949,0.854962,0.914204,1
0.909789,0.96515,0.00703,0.516129,0.451613,0.322718,0.864292,0.914204,1
0.90691,0.990319,0.006411,0.532258,0.383513,0.322718,0.838846,0.92469,2
0.857006,0.96515,0.006367,0.471774,0.501792,0.426752,0.795589,0.896092,2
0.903071,1.0,0.006765,0.516129,0.444444,0.322718,0.854962,0.92469,1
0.856046,0.948693,0.007936,0.483871,0.301075,0.426752,0.838846,0.868446,2
0.763916,0.836399,0.009019,0.564516,0.218638,0.174098,0.737913,0.742612,1
0.809021,0.866409,0.008666,0.467742,0.207885,0.322718,0.804919,0.801716,1
0.84453,0.923524,0.007185,0.53629,0.37276,0.322718,0.770992,0.85796,2
0.774472,0.837367,0.008135,0.443548,0.362007,0.426752,0.754877,0.753098,1
0.786948,0.842207,0.008621,0.427419,0.075269,0.14862,0.770992,0.742612,1
0.81094,0.858664,0.008798,0.491935,0.103943,0.195329,0.795589,0.761678,1
0.852207,0.902227,0.008555,0.524194,0.308244,0.235669,0.838846,0.828408,1
0.87524,0.915779,0.008467,0.455645,0.179211,0.174098,0.854962,0.838894,1
0.890595,0.938045,0.008312,0.479839,0.207885,0.235669,0.854962,0.877026,1
0.897313,0.958374,0.007516,0.544355,0.387097,0.343949,0.847328,0.877026,1
0.870441,0.942885,0.007118,0.568548,0.37276,0.322718,0.831213,0.896092,2
0.851248,0.943853,0.00714,0.399194,0.304659,0.2569,0.795589,0.896092,2
0.896353,0.971926,0.007251,0.512097,0.304659,0.29724,0.864292,0.896092,1
0.903071,0.983543,0.007118,0.548387,0.258065,0.426752,0.864292,0.896092,2
0.867562,0.966118,0.007207,0.532258,0.351254,0.322718,0.821883,0.896092,2
0.838772,0.938045,0.007361,0.334677,0.175627,0.235669,0.787956,0.887512,1
0.856046,0.952565,0.007605,0.169355,0.143369,0.14862,0.804919,0.896092,2
0.863724,0.952565,0.007781,0.145161,0.057348,0.14862,0.854962,0.877026,1
0.851248,0.916747,0.007715,0.33871,0.168459,0.235669,0.814249,0.868446,2
0.826296,0.919652,0.007273,0.350806,0.111111,0.174098,0.778626,0.868446,2
0.769674,0.892546,0.006588,0.245968,0.207885,0.29724,0.745547,0.828408,2
0.752399,0.81607,0.00882,0.439516,0.283154,0.278132,0.71162,0.78265,2
0.74856,0.803485,0.009351,0.471774,0.143369,0.214437,0.728584,0.742612,1
0.78119,0.838335,0.008599,0.487903,0.293907,0.278132,0.778626,0.772164,1
0.815739,0.847047,0.007826,0.560484,0.301075,0.29724,0.821883,0.78265,1
0.839731,0.863504,0.007759,0.580645,0.365591,0.426752,0.831213,0.819828,1
0.847409,0.878025,0.008157,0.495968,0.351254,0.29724,0.831213,0.828408,1
0.863724,0.874153,0.007582,0.447581,0.397849,0.322718,0.838846,0.838894,1
0.789827,0.875121,0.00787,0.383065,0.086022,0.235669,0.762511,0.838894,2
0.78023,0.828654,0.008268,0.415323,0.107527,0.14862,0.778626,0.753098,1
0.817658,0.839303,0.008002,0.479839,0.146953,0.214437,0.804919,0.819828,1
0.772553,0.805421,0.008047,0.467742,0.240143,0.235669,0.745547,0.772164,2
0.724568,0.727977,0.008091,0.512097,0.275986,0.532909,0.694656,0.734032,1
0.693858,0.70668,0.00924,0.491935,0.204301,0.235669,0.737913,0.638704,1
0.754319,0.74153,0.008157,0.572581,0.390681,0.322718,0.770992,0.71592,1
0.835893,0.85092,0.006632,0.487903,0.505376,0.426752,0.804919,0.847474,1
0.771593,0.852856,0.006079,0.475806,0.336918,0.278132,0.754877,0.801716,2
0.723608,0.795741,0.008113,0.528226,0.272401,0.278132,0.694656,0.7245,1
0.725528,0.807357,0.00829,0.447581,0.293907,0.384289,0.678541,0.761678,2
0.715931,0.810261,0.008555,0.391129,0.258065,0.343949,0.625954,0.78265,2
0.683301,0.747338,0.009572,0.387097,0.075269,0.14862,0.694656,0.696854,2
0.696737,0.759923,0.009506,0.383065,0.089606,0.174098,0.719254,0.675882,1
0.693858,0.787028,0.008069,0.358871,0.326165,0.426752,0.669211,0.761678,2
0.745681,0.839303,0.006101,0.383065,0.469534,0.363057,0.71162,0.78265,2
0.735125,0.848984,0.006742,0.310484,0.265233,0.44586,0.686175,0.7245,2
0.59501,0.68151,0.009572,0.467742,0.362007,0.426752,0.625954,0.57102,1
0.640115,0.735721,0.009329,0.475806,0.107527,0.235669,0.602205,0.675882,1
0.653551,0.731849,0.008422,0.5,0.369176,0.426752,0.669211,0.648236,1
0.708253,0.803485,0.006853,0.512097,0.469534,0.426752,0.728584,0.71592,1
0.746641,0.837367,0.0063,0.439516,0.265233,0.322718,0.719254,0.78265,2
0.71785,0.794773,0.007671,0.435484,0.125448,0.278132,0.728584,0.648236,1
0.695777,0.732817,0.009041,0.487903,0.121864,0.195329,0.762511,0.638704,1
0.778311,0.812197,0.007848,0.532258,0.365591,0.44586,0.831213,0.742612,1
0.737044,0.787028,0.008666,0.495968,0.304659,0.278132,0.770992,0.7245,1
0.701536,0.724105,0.0084,0.512097,0.275986,0.511677,0.686175,0.696854,1
0.648752,0.691191,0.009528,0.471774,0.240143,0.174098,0.678541,0.600572,1
0.677543,0.727009,0.009373,0.479839,0.168459,0.322718,0.728584,0.648236,1
0.727447,0.773475,0.008113,0.592742,0.469534,0.492569,0.737913,0.696854,1
0.743762,0.783156,0.007671,0.564516,0.408602,0.322718,0.745547,0.753098,2
0.660269,0.726041,0.008356,0.58871,0.107527,0.278132,0.669211,0.667302,1
0.596929,0.674734,0.009373,0.504032,0.258065,0.235669,0.602205,0.57102,1
0.578695,0.657309,0.009461,0.483871,0.164875,0.235669,0.635284,0.525262,1
0.65547,0.679574,0.008843,0.53629,0.422939,0.511677,0.694656,0.630124,1
0.722649,0.725073,0.008135,0.572581,0.663082,0.55414,0.70229,0.742612,2
0.720729,0.755082,0.008025,0.443548,0.358423,0.322718,0.694656,0.7245,1
0.769674,0.830591,0.007472,0.419355,0.272401,0.235669,0.787956,0.761678,1
0.729367,0.78122,0.0084,0.596774,0.336918,0.278132,0.728584,0.734032,2
0.758157,0.828654,0.007582,0.431452,0.387097,0.322718,0.719254,0.810296,1
0.744722,0.838335,0.005527,0.298387,0.283154,0.235669,0.686175,0.801716,2
0.800384,0.869313,0.004952,0.532258,0.437276,0.426752,0.814249,0.828408,2
0.852207,0.926428,0.005482,0.540323,0.641577,0.426752,0.821883,0.847474,1
0.675624,0.775411,0.007914,0.475806,0.207885,0.384289,0.694656,0.71592,1
0.762956,0.823814,0.004112,0.451613,0.620072,0.70276,0.694656,0.772164,2
0.660269,0.718296,0.00661,0.560484,0.236559,0.426752,0.635284,0.686368,2
0.632438,0.691191,0.008025,0.5,0.078853,0.174098,0.728584,0.600572,1
0.6881,0.7212,0.008555,0.544355,0.046595,0.14862,0.728584,0.656816,1
0.666987,0.715392,0.010213,0.520161,0.340502,0.322718,0.625954,0.71592,2
0.622841,0.68635,0.00966,0.423387,0.132616,0.214437,0.661578,0.57102,1
0.694818,0.763795,0.007737,0.564516,0.401434,0.492569,0.719254,0.686368,1
0.71977,0.775411,0.00787,0.572581,0.25448,0.278132,0.728584,0.705434,1
0.703455,0.765731,0.007826,0.495968,0.462366,0.492569,0.669211,0.753098,2
0.715931,0.817038,0.007096,0.366935,0.37276,0.511677,0.70229,0.742612,2
0.629559,0.758955,0.007162,0.137097,0.250896,0.235669,0.661578,0.667302,2
0.521113,0.621491,0.007538,0.391129,0.419355,0.384289,0.482612,0.56244,2
0.544146,0.590513,0.008599,0.552419,0.318996,0.44586,0.635284,0.525262,1
0.592131,0.643756,0.009705,0.596774,0.326165,0.322718,0.566582,0.611058,1
0.511516,0.57212,0.011451,0.532258,0.125448,0.174098,0.499576,0.49571,1
0.553743,0.615682,0.009307,0.556452,0.358423,0.343949,0.558948,0.590086,1
0.510557,0.594385,0.010655,0.495968,0.164875,0.322718,0.558948,0.49571,1
0.631478,0.68635,0.009041,0.540323,0.44086,0.322718,0.686175,0.619638,1
0.647793,0.725073,0.008754,0.459677,0.0681,0.14862,0.686175,0.638704,1
0.672745,0.736689,0.007715,0.46371,0.189964,0.174098,0.686175,0.686368,1
0.56334,0.597289,0.009108,0.467742,0.46595,0.492569,0.558948,0.581506,1
0.439539,0.493708,0.010302,0.540323,0.21147,0.343949,0.516539,0.418494,1
0.610365,0.617619,0.00703,0.596774,0.379928,0.363057,0.669211,0.611058,1
0.546065,0.582769,0.008621,0.596774,0.508961,0.598726,0.558948,0.57102,1
0.490403,0.550823,0.009616,0.572581,0.222222,0.278132,0.609839,0.458532,1
0.581574,0.640852,0.008489,0.520161,0.304659,0.278132,0.585242,0.57102,1
0.486564,0.557599,0.01123,0.495968,0.168459,0.235669,0.541985,0.458532,1
0.580614,0.63698,0.009837,0.560484,0.064516,0.14862,0.694656,0.544328,1
0.644914,0.697967,0.007936,0.576613,0.132616,0.322718,0.737913,0.600572,1
0.636276,0.688287,0.006411,0.483871,0.125448,0.235669,0.669211,0.581506,1
0.68714,0.744434,0.005151,0.592742,0.358423,0.278132,0.661578,0.696854,1
0.637236,0.70668,0.00493,0.455645,0.050179,0.174098,0.686175,0.619638,1
0.651631,0.723136,0.004598,0.508065,0.157706,0.278132,0.669211,0.630124,1
0.604607,0.692159,0.00619,0.358871,0.709677,0.511677,0.585242,0.667302,2
0.574856,0.618587,0.007494,0.508065,0.383513,0.492569,0.652248,0.552908,1
0.574856,0.615682,0.007759,0.596774,0.358423,0.511677,0.575912,0.590086,1
0.491363,0.536302,0.007848,0.596774,0.390681,0.44586,0.508906,0.514776,1
0.521113,0.555663,0.008356,0.560484,0.551971,0.721868,0.473282,0.581506,1
0.491363,0.553727,0.010125,0.596774,0.46595,0.426752,0.490246,0.50429,1
0.432821,0.504356,0.010213,0.544355,0.258065,0.322718,0.508906,0.418494,1
0.596929,0.64182,0.006455,0.596774,0.207885,0.363057,0.686175,0.57102,1
0.555662,0.604066,0.007892,0.544355,0.577061,0.641189,0.566582,0.533842,1
0.425144,0.489835,0.011053,0.483871,0.580645,0.598726,0.406277,0.467112,1
0.442418,0.45789,0.009373,0.596774,0.340502,0.29724,0.541985,0.409914,1
